"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2023-07","Entire guest suite - entire_home","503","84.94","2818.69"
"2023-08","Entire guest suite - entire_home","543","82.07","2356.38"
"2023-09","Entire guest suite - entire_home","526","77.95","2123.81"
"2023-10","Entire guest suite - entire_home","400","63.36","1649.71"
"2022-11","Entire guesthouse - entire_home","169","58.39","1294.00"
"2022-12","Entire guesthouse - entire_home","163","63.96","1482.31"
"2023-01","Entire guesthouse - entire_home","78","47.24","832.40"
"2023-02","Entire guesthouse - entire_home","98","53.05","855.64"
"2023-03","Entire guesthouse - entire_home","126","39.14","872.21"
"2023-04","Entire guesthouse - entire_home","209","66.53","1592.88"
"2023-05","Entire guesthouse - entire_home","186","59.27","1503.00"
"2023-06","Entire guesthouse - entire_home","244","66.89","1565.06"
"2023-07","Entire guesthouse - entire_home","301","83.36","2157.24"
"2023-08","Entire guesthouse - entire_home","386","78.76","2017.83"
"2023-09","Entire guesthouse - entire_home","360","70.56","2123.75"
"2023-10","Entire guesthouse - entire_home","321","65.33","1861.79"
"2022-11","Entire home - entire_home","1893","53.38","3344.52"
"2022-12","Entire home - entire_home","2145","64.06","4174.57"
"2023-01","Entire home - entire_home","1674","50.23","2640.07"
"2023-02","Entire home - entire_home","2428","55.44","2942.74"
"2023-03","Entire home - entire_home","2718","54.66","3264.27"
"2023-04","Entire home - entire_home","3669","68.37","4712.64"
"2023-05","Entire home - entire_home","3578","60.94","4705.26"
"2023-06","Entire home - entire_home","4572","69.80","4852.68"
"2023-07","Entire home - entire_home","6389","79.12","6279.12"
"2023-08","Entire home - entire_home","8375","77.91","5893.68"
"2023-09","Entire home - entire_home","7207","71.61","5822.96"
"2023-10","Entire home - entire_home","5549","58.87","5043.99"
"2023-08","Entire home/apt - entire_home","5","75.00","1440.00"
"2023-09","Entire home/apt - entire_home","6","24.00","1152.00"
"2023-10","Entire home/apt - entire_home","5","19.40","870.00"
"2023-05","Entire house - entire_home","1","40.00","687.00"
"2023-06","Entire house - entire_home","2","100.00","922.00"
"2023-07","Entire house - entire_home","0","0.00","0.00"
"2022-11","Entire loft - entire_home","54","70.20","1068.29"
"2022-12","Entire loft - entire_home","67","57.90","1792.40"
"2023-01","Entire loft - entire_home","46","48.70","1099.50"
"2023-02","Entire loft - entire_home","67","68.01","1639.14"
"2023-03","Entire loft - entire_home","86","61.64","2507.71"
"2023-04","Entire loft - entire_home","163","65.83","2530.91"
"2023-05","Entire loft - entire_home","162","65.51","2366.45"
"2023-06","Entire loft - entire_home","159","66.33","2457.82"
"2023-07","Entire loft - entire_home","195","81.37","3488.90"
"2023-08","Entire loft - entire_home","228","71.20","2563.64"
"2023-09","Entire loft - entire_home","215","74.08","2541.08"
"2023-10","Entire loft - entire_home","204","63.67","2142.00"
"2022-11","Entire place - entire_home","68","54.68","2176.50"
"2022-12","Entire place - entire_home","95","63.75","3065.50"
"2023-01","Entire place - entire_home","81","50.87","2652.17"
"2023-02","Entire place - entire_home","129","64.03","2006.40"
"2023-03","Entire place - entire_home","118","47.45","1705.45"
"2023-04","Entire place - entire_home","171","81.39","2231.55"
"2023-05","Entire place - entire_home","182","70.07","2596.82"
"2023-06","Entire place - entire_home","188","74.37","2927.64"
"2023-07","Entire place - entire_home","201","83.06","3010.36"
"2023-08","Entire place - entire_home","234","85.17","2813.46"
"2023-09","Entire place - entire_home","259","76.31","3192.31"
"2023-10","Entire place - entire_home","145","56.07","2088.80"
"2022-11","Entire rental unit - entire_home","4877","59.70","1748.70"
"2022-12","Entire rental unit - entire_home","5387","66.34","2129.45"
"2023-01","Entire rental unit - entire_home","4332","52.93","1414.51"
"2023-02","Entire rental unit - entire_home","5567","60.51","1732.20"
"2023-03","Entire rental unit - entire_home","6138","56.81","1773.04"
"2023-04","Entire rental unit - entire_home","8185","72.31","2558.08"
"2023-05","Entire rental unit - entire_home","7954","65.38","2469.81"
"2023-06","Entire rental unit - entire_home","10124","70.79","2508.92"
"2023-07","Entire rental unit - entire_home","13347","81.86","3592.98"
"2023-08","Entire rental unit - entire_home","16908","76.84","3294.26"
"2023-09","Entire rental unit - entire_home","16210","73.54","3100.69"
"2023-10","Entire rental unit - entire_home","11753","59.07","2379.44"
"2022-11","Entire residential home - entire_home","3","60.00","516.00"
"2022-12","Entire residential home - entire_home","1","40.00","219.00"
"2023-01","Entire residential home - entire_home","0","0.00","0.00"
"2023-02","Entire residential home - entire_home","7","48.00","897.50"
"2023-04","Entire residential home - entire_home","5","54.50","1070.00"
"2023-05","Entire residential home - entire_home","1","15.00","374.00"
"2023-06","Entire residential home - entire_home","3","56.65","319.00"
"2023-07","Entire residential home - entire_home","6","33.33","774.00"
"2023-08","Entire residential home - entire_home","26","100.00","10581.00"
"2023-09","Entire residential home - entire_home","11","100.00","4249.00"
"2023-10","Entire residential home - entire_home","0","0.00","0.00"
"2022-11","Entire serviced apartment - entire_home","82","28.27","995.83"
"2022-12","Entire serviced apartment - entire_home","154","42.54","1798.58"
"2023-01","Entire serviced apartment - entire_home","177","48.39","1099.34"
"2023-02","Entire serviced apartment - entire_home","430","61.39","2146.79"
"2023-03","Entire serviced apartment - entire_home","427","50.88","2086.48"
"2023-04","Entire serviced apartment - entire_home","440","56.87","2178.08"
"2023-05","Entire serviced apartment - entire_home","446","53.42","2306.60"
"2023-06","Entire serviced apartment - entire_home","621","61.34","2163.55"
"2023-07","Entire serviced apartment - entire_home","888","75.33","3531.19"
"2023-08","Entire serviced apartment - entire_home","913","60.79","2404.91"
"2023-09","Entire serviced apartment - entire_home","1018","65.40","2573.10"
"2023-10","Entire serviced apartment - entire_home","630","46.38","1860.30"
"2022-11","Entire townhouse - entire_home","852","52.63","3381.78"
"2022-12","Entire townhouse - entire_home","953","60.16","4668.00"
"2023-01","Entire townhouse - entire_home","681","50.75","2463.66"
"2023-02","Entire townhouse - entire_home","972","52.55","3097.55"
"2023-03","Entire townhouse - entire_home","1062","48.45","3103.58"
"2023-04","Entire townhouse - entire_home","1591","64.83","4905.81"
"2023-05","Entire townhouse - entire_home","1540","53.83","4608.73"
"2023-06","Entire townhouse - entire_home","1922","65.66","5404.05"
"2023-07","Entire townhouse - entire_home","2426","73.10","6754.62"
"2023-08","Entire townhouse - entire_home","2554","70.42","5947.31"
"2023-09","Entire townhouse - entire_home","2291","65.74","5566.80"
"2023-10","Entire townhouse - entire_home","1582","52.99","4027.29"
"2022-11","Entire vacation home - entire_home","81","69.84","3128.00"
"2022-12","Entire vacation home - entire_home","71","62.04","3301.60"
"2023-01","Entire vacation home - entire_home","64","41.48","1537.88"
"2023-02","Entire vacation home - entire_home","194","60.08","2204.47"
