"reporting_month","concat","monthly_reservation_days","avg_occupancy_rate","avg_revenue"
"2022-12","Room in hotel - hotel_room","62","84.40","1497.33"
"2023-01","Room in hotel - hotel_room","28","69.13","522.33"
"2023-02","Room in hotel - hotel_room","39","80.47","934.67"
"2023-03","Room in hotel - hotel_room","57","79.13","1460.33"
"2023-04","Room in hotel - hotel_room","70","94.67","2081.33"
"2023-05","Room in hotel - hotel_room","64","100.00","2049.33"
"2023-06","Room in hotel - hotel_room","49","100.00","2760.50"
"2023-07","Room in hotel - hotel_room","65","100.00","2333.00"
"2023-08","Room in hotel - hotel_room","89","100.00","3145.33"
"2023-09","Room in hotel - hotel_room","79","100.00","2577.00"
"2023-10","Room in hotel - hotel_room","21","81.30","1827.00"
"2022-11","Room in hotel - private_room","42","38.86","1318.20"
"2022-12","Room in hotel - private_room","43","51.70","1658.50"
"2023-01","Room in hotel - private_room","35","35.78","1187.80"
"2023-02","Room in hotel - private_room","56","55.52","1327.00"
"2023-03","Room in hotel - private_room","52","35.37","1151.00"
"2023-04","Room in hotel - private_room","68","59.20","1744.67"
"2023-05","Room in hotel - private_room","80","62.20","2076.50"
"2023-06","Room in hotel - private_room","65","64.99","1604.00"
"2023-07","Room in hotel - private_room","77","63.54","2006.14"
"2023-08","Room in hotel - private_room","224","62.74","2633.25"
"2023-09","Room in hotel - private_room","193","59.52","2146.85"
"2023-10","Room in hotel - private_room","138","44.52","1427.08"
"2022-11","Room in serviced apartment - hotel_room","19","78.60","2698.00"
"2022-12","Room in serviced apartment - hotel_room","20","77.40","3080.00"
"2023-01","Room in serviced apartment - hotel_room","9","41.50","864.00"
"2023-02","Room in serviced apartment - hotel_room","18","80.00","2610.00"
"2023-03","Room in serviced apartment - hotel_room","10","41.40","1210.00"
"2023-04","Room in serviced apartment - hotel_room","22","97.80","3322.00"
"2023-05","Room in serviced apartment - hotel_room","9","37.20","1422.00"
"2023-06","Room in serviced apartment - hotel_room","19","81.40","2926.00"
"2023-07","Room in serviced apartment - hotel_room","26","100.00","5330.00"
"2023-08","Room in serviced apartment - hotel_room","22","100.00","4334.00"
"2023-09","Room in serviced apartment - hotel_room","26","100.00","4550.00"
"2023-10","Room in serviced apartment - hotel_room","23","89.00","3128.00"
"2022-11","Shared room - shared_room","6","42.40","234.00"
"2023-01","Shared room - shared_room","0","0.00","0.00"
"2023-05","Shared room - shared_room","4","40.00","172.00"
"2023-06","Shared room - shared_room","6","36.00","270.00"
"2023-07","Shared room - shared_room","6","24.80","270.00"
"2022-11","Shared room in guesthouse - shared_room","22","29.80","216.00"
"2022-12","Shared room in guesthouse - shared_room","11","50.40","119.33"
"2023-01","Shared room in guesthouse - shared_room","28","56.00","435.00"
"2023-02","Shared room in guesthouse - shared_room","17","36.45","272.00"
"2023-03","Shared room in guesthouse - shared_room","42","73.13","452.00"
"2023-04","Shared room in guesthouse - shared_room","58","79.03","682.00"
"2023-05","Shared room in guesthouse - shared_room","55","74.00","672.00"
"2023-06","Shared room in guesthouse - shared_room","74","96.00","888.00"
"2023-07","Shared room in guesthouse - shared_room","73","97.37","900.33"
"2023-08","Shared room in guesthouse - shared_room","71","91.63","852.00"
"2023-09","Shared room in guesthouse - shared_room","56","74.67","697.33"
"2023-10","Shared room in guesthouse - shared_room","43","55.50","501.67"
"2023-08","Shared room in home - shared_room","24","100.00","840.00"
"2023-09","Shared room in home - shared_room","29","100.00","986.00"
"2023-10","Shared room in home - shared_room","29","100.00","1073.00"
"2022-11","Shared room in hostel - shared_room","38","72.00","564.50"
"2022-12","Shared room in hostel - shared_room","36","63.55","576.00"
"2023-01","Shared room in hostel - shared_room","12","23.20","186.00"
"2023-02","Shared room in hostel - shared_room","43","63.07","451.67"
"2023-03","Shared room in hostel - shared_room","51","66.80","527.00"
"2023-04","Shared room in hostel - shared_room","56","70.20","656.33"
"2023-05","Shared room in hostel - shared_room","57","75.00","703.00"
"2023-06","Shared room in hostel - shared_room","60","80.00","720.00"
"2023-07","Shared room in hostel - shared_room","49","75.83","603.00"
"2023-08","Shared room in hostel - shared_room","66","83.87","799.00"
"2023-09","Shared room in hostel - shared_room","46","90.00","851.00"
"2023-10","Shared room in hostel - shared_room","34","61.60","595.00"
"2023-06","Shared room in rental unit - shared_room","13","67.80","455.00"
"2023-07","Shared room in rental unit - shared_room","25","96.80","925.00"
"2023-08","Shared room in rental unit - shared_room","21","81.30","819.00"
"2023-09","Shared room in rental unit - shared_room","27","100.00","972.00"
"2023-10","Shared room in rental unit - shared_room","6","23.20","210.00"
"2023-02","Shepherd’s hut - entire_home","10","60.00","880.00"
"2023-03","Shepherd’s hut - entire_home","26","78.40","1149.00"
"2023-04","Shepherd’s hut - entire_home","41","93.55","1915.50"
"2023-05","Shepherd’s hut - entire_home","22","85.20","2118.00"
"2023-06","Shepherd’s hut - entire_home","35","64.17","1025.33"
"2023-07","Shepherd’s hut - entire_home","73","89.33","2297.67"
"2023-08","Shepherd’s hut - entire_home","46","90.65","2164.00"
"2023-09","Shepherd’s hut - entire_home","40","80.00","1787.00"
"2023-10","Shepherd’s hut - entire_home","39","75.15","1646.50"
"2022-11","Shipping container - entire_home","2","8.00","172.00"
"2022-12","Shipping container - entire_home","25","100.00","1897.00"
"2023-01","Shipping container - entire_home","14","98.80","952.00"
"2023-02","Shipping container - entire_home","28","100.00","1950.00"
"2023-03","Shipping container - entire_home","28","100.00","2114.00"
"2023-04","Shipping container - entire_home","22","100.00","1866.00"
"2023-05","Shipping container - entire_home","13","57.80","1189.00"
"2023-06","Shipping container - entire_home","7","28.00","781.00"
"2023-07","Shipping container - entire_home","19","76.00","2237.00"
"2023-08","Shipping container - entire_home","15","62.10","1719.00"
"2023-09","Shipping container - entire_home","26","100.00","1732.00"
"2023-10","Shipping container - entire_home","25","96.80","1727.00"
"2022-11","Tiny home - entire_home","76","59.10","1752.60"
"2022-12","Tiny home - entire_home","107","78.37","2164.17"
"2023-01","Tiny home - entire_home","31","62.28","499.00"
"2023-02","Tiny home - entire_home","61","51.94","1258.29"
"2023-03","Tiny home - entire_home","126","61.86","2115.25"
"2023-04","Tiny home - entire_home","102","64.21","1819.38"
"2023-05","Tiny home - entire_home","142","69.09","2073.11"
"2023-06","Tiny home - entire_home","187","76.63","2259.36"
"2023-07","Tiny home - entire_home","255","88.98","3130.36"
"2023-08","Tiny home - entire_home","257","87.12","2384.20"
"2023-09","Tiny home - entire_home","320","86.47","2836.14"
"2023-10","Tiny home - entire_home","238","66.87","2142.00"
